company_id,year,previous_pattern,new_pattern
INDUSINDBK,2024,Pre-Revenue,Mixed
INFY,2015,Reinvestor,Shareholder Returns
INFY,2016,Shareholder Returns,Reinvestor
INFY,2018,Reinvestor,Shareholder Returns
INFY,2019,Shareholder Returns,Reinvestor
IOC,2014,Growth Funded by Debt,Reinvestor
IOC,2019,Reinvestor,Growth Funded by Debt
IOC,2021,Growth Funded by Debt,Reinvestor
IRCTC,2016,Reinvestor,Shareholder Returns
IRCTC,2019,Shareholder Returns,Reinvestor
IRCTC,2020,Reinvestor,Shareholder Returns
IRCTC,2021,Shareholder Returns,Reinvestor
IRFC,2021,Liquidating Assets,Pre-Revenue
IRFC,2024,Pre-Revenue,Reinvestor
ITC,2021,Reinvestor,Shareholder Returns
ITC,2022,Shareholder Returns,Reinvestor
ITC,2024,Reinvestor,Shareholder Returns
JINDALSTEL,2016,Growth Funded by Debt,Reinvestor
JINDALSTEL,2024,Reinvestor,Growth Funded by Debt
JIOFIN,2024,Reinvestor,Distress Signal
JSWENERGY,2020,Reinvestor,Shareholder Returns
JSWENERGY,2021,Shareholder Returns,Reinvestor
JSWENERGY,2023,Reinvestor,Growth Funded by Debt
JSWSTEEL,2014,Reinvestor,Growth Funded by Debt
JSWSTEEL,2015,Growth Funded by Debt,Reinvestor
JSWSTEEL,2019,Reinvestor,Growth Funded by Debt
JSWSTEEL,2021,Growth Funded by Debt,Reinvestor
KOTAKBANK,2014,Growth Funded by Debt,Reinvestor
KOTAKBANK,2015,Reinvestor,Growth Funded by Debt
KOTAKBANK,2018,Growth Funded by Debt,Pre-Revenue
KOTAKBANK,2019,Pre-Revenue,Growth Funded by Debt
KOTAKBANK,2020,Growth Funded by Debt,Reinvestor
KOTAKBANK,2022,Reinvestor,Growth Funded by Debt
KOTAKBANK,2023,Growth Funded by Debt,Pre-Revenue
KOTAKBANK,2024,Pre-Revenue,Growth Funded by Debt
LICI,2020,Shareholder Returns,Reinvestor
LICI,2021,Reinvestor,Shareholder Returns
LICI,2022,Shareholder Returns,Distress Signal
LICI,2023,Distress Signal,Reinvestor
LODHA,2017,Growth Funded by Debt,Reinvestor
LODHA,2018,Reinvestor,Growth Funded by Debt
LODHA,2019,Growth Funded by Debt,Pre-Revenue
LODHA,2020,Pre-Revenue,Shareholder Returns
LODHA,2024,Shareholder Returns,Growth Funded by Debt
LT,2017,Pre-Revenue,Growth Funded by Debt
LT,2018,Growth Funded by Debt,Liquidating Assets
LT,2019,Liquidating Assets,Pre-Revenue
LT,2020,Pre-Revenue,Growth Funded by Debt
LT,2021,Growth Funded by Debt,Reinvestor
LT,2024,Reinvestor,Shareholder Returns
